title,budget,gross,mpaa,running_time,genre,year
48 Hrs.,12000000,78868508.0,R,"96.0,",Action,1982
Star Trek II: The Wrath of Khan,11200000,78912963.0,PG,"113.0,",Action,1982
Paradise,0,5588800.0,R,"100.0,",Adventure,1982
The Last American Virgin,0,5829781.0,R,"92.0,",Comedy,1982
Sophie's Choice,12000000,30036000.0,R,"150.0,",Drama,1982
Gandhi,22000000,52767889.0,PG,"191.0,",Biography,1982
Tootsie,21000000,177200000.0,PG,"116.0,",Comedy,1982
Tron,17000000,33000525.0,PG,"96.0,",Action,1982
The Secret of NIMH,7000000,14665733.0,G,"82.0,",Animation,1982
The King of Comedy,20000000,2536242.0,PG,"109.0,",Comedy,1982
Rocky III,17000000,125052686.0,PG,"99.0,",Drama,1982
The Beastmaster,8000000,14056528.0,PG,"118.0,",Action,1982
Creepshow,8000000,21028755.0,R,"120.0,",Comedy,1982
The Man from Snowy River,3500000,20659423.0,PG,"102.0,",Adventure,1982
Pink Floyd: The Wall,12000000,22265763.0,R,"95.0,",Drama,1982
Cat People,18000000,7000000.0,R,"118.0,",Fantasy,1982
Fanny and Alexander,6000000,6795771.0,R,"188.0,",Drama,1982
Friday the 13th Part III,2300000,36690067.0,R,"95.0,",Horror,1982
Firefox,18000000,46708276.0,PG,"136.0,",Action,1982
Halloween III: Season of the Witch,2500000,14400000.0,R,"98.0,",Horror,1982
The Dark Crystal,15000000,41630431.0,PG,"93.0,",Adventure,1982
The Verdict,16000000,53993738.0,R,"129.0,",Drama,1982
Pieces,300000,2032311.0,Not Rated,"85.0,",Horror,1982
Zapped!,0,16897768.0,R,"98.0,",Comedy,1982
Six Pack,0,20225989.0,PG,"108.0,",Comedy,1982
The World According to Garp,17000000,29712172.0,R,"136.0,",Comedy,1982
Diner,5000000,14099953.0,R,"110.0,",Comedy,1982
The Best Little Whorehouse in Texas,35000000,69701637.0,R,"114.0,",Comedy,1982
The Year of Living Dangerously,13000000,10278575.0,PG,"115.0,",Drama,1982
Night Shift,0,21095638.0,R,"106.0,",Comedy,1982
Summer Lovers,0,4968000.0,R,"98.0,",Comedy,1982
Victor Victoria,0,28229046.0,PG,"134.0,",Comedy,1982
The Last Unicorn,3500000,6455330.0,G,"92.0,",Animation,1982
The Entity,9000000,13277558.0,R,"125.0,",Drama,1982
Airplane II: the Sequel,15000000,27150534.0,PG,"85.0,",Comedy,1982
The Toy,17000000,47118057.0,PG,"102.0,",Comedy,1982
The House on Sorority Row,425000,10604986.0,R,"91.0,",Horror,1982
Evil Under the Sun,10000000,6110670.0,PG,"117.0,",Crime,1982
The Sword and the Sorcerer,0,39103425.0,R,"99.0,",Action,1982
Death Wish II,2000000,16100000.0,R,"89.0,",Action,1982
Silent Rage,4500000,10490791.0,R,"103.0,",Action,1982
Megaforce,20000000,5675599.0,PG,"99.0,",Action,1982
Personal Best,16000000,5672311.0,R,"128.0,",Drama,1982
Dead Men Don't Wear Plaid,9000000,18196170.0,PG,"88.0,",Comedy,1982
Amityville II: The Possession,5000000,12534817.0,R,"104.0,",Horror,1982
Missing,9500000,14000000.0,PG,"122.0,",Biography,1982
The Seduction,0,11378339.0,R,"104.0,",Thriller,1982
Cannery Row,11300000,5301539.0,PG,"120.0,",Comedy,1982
Deathtrap,0,19282134.0,PG,"116.0,",Comedy,1982
Tex,0,7400000.0,PG,"103.0,",Drama,1982
"I, the Jury",0,1515578.0,R,"111.0,",Crime,1982
